Symbol,Name,Sector,Industry
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACN,Accenture plc,Miscellaneous,Business Services
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services
BTN,"Ballantyne Strong, Inc",Miscellaneous,Industrial Machinery/Components
BFAM,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services
BR,"Broadridge Financial Solutions, Inc.",Miscellaneous,Business Services
BSQR,BSQUARE Corporation,Miscellaneous,Business Services
CAE,CAE Inc,Miscellaneous,Industrial Machinery/Components
CAJ,"Canon, Inc.",Miscellaneous,Industrial Machinery/Components
CATM,Cardtronics plc,Miscellaneous,Business Services
CASS,"Cass Information Systems, Inc",Miscellaneous,Business Services
CBZ,"CBIZ, Inc.",Miscellaneous,Business Services
CDK,"CDK Global, Inc.",Miscellaneous,Business Services
CBAK,"China BAK Battery, Inc.",Miscellaneous,Industrial Machinery/Components
CCRC,"China Customer Relations Centers, Inc.",Miscellaneous,Business Services
CREG,China Recycling Energy Corporation,Miscellaneous,Business Services
CMPR,Cimpress N.V,Miscellaneous,Publishing
CLCT,"Collectors Universe, Inc.",Miscellaneous,Business Services
SCOR,"comScore, Inc.",Miscellaneous,Business Services
CSGP,"CoStar Group, Inc.",Miscellaneous,Business Services
COTV,"Cotiviti Holdings, Inc.",Miscellaneous,Business Services
CRAI,"CRA International,Inc.",Miscellaneous,Other Consumer Services
CTRP,"Ctrip.com International, Ltd.",Miscellaneous,Business Services
DHX,"DHI Group, Inc.",Miscellaneous,Business Services
DBD,"Diebold, Incorporated",Miscellaneous,Office Equipment/Supplies/Services
APPS,"Digital Turbine, Inc.",Miscellaneous,Multi-Sector Companies
DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies
DTSI,"DTS, Inc.",Miscellaneous,Multi-Sector Companies
KODK,Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components
EBAY,eBay Inc.,Miscellaneous,Business Services
EBAYL,eBay Inc.,Miscellaneous,Business Services
ESIO,"Electro Scientific Industries, Inc.",Miscellaneous,Industrial Machinery/Components
ENR,"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components
ENV,"Envestnet, Inc",Miscellaneous,Business Services
ETSY,"Etsy, Inc.",Miscellaneous,Business Services
EXLS,"ExlService Holdings, Inc.",Miscellaneous,Business Services
FICO,Fair Isaac Corporation,Miscellaneous,Business Services
FIS,"Fidelity National Information Services, Inc.",Miscellaneous,Business Services
FNJN,"Finjan Holdings, Inc.",Miscellaneous,Multi-Sector Companies
FDC,First Data Corporation,Miscellaneous,Business Services
FLT,"FleetCor Technologies, Inc.",Miscellaneous,Business Services
FH,FORM Holdings Corp.,Miscellaneous,Multi-Sector Companies
FCEL,"FuelCell Energy, Inc.",Miscellaneous,Industrial Machinery/Components
GPN,Global Payments Inc.,Miscellaneous,Business Services
GPRO,"GoPro, Inc.",Miscellaneous,Industrial Machinery/Components
GRVY,"GRAVITY Co., Ltd.",Miscellaneous,Business Services
GRUB,GrubHub Inc.,Miscellaneous,Business Services
HQY,"HealthEquity, Inc.",Miscellaneous,Business Services
HPJ,Highpower International Inc,Miscellaneous,Industrial Machinery/Components
HMSY,HMS Holdings Corp,Miscellaneous,Business Services
HRG,"HRG Group, Inc.",Miscellaneous,Industrial Machinery/Components
IKNX,Ikonics Corporation,Miscellaneous,Industrial Machinery/Components
IMAX,Imax Corporation,Miscellaneous,Industrial Machinery/Components
ITGR,Integer Holdings Corporation,Miscellaneous,Industrial Machinery/Components
IDCC,"InterDigital, Inc.",Miscellaneous,Multi-Sector Companies
ISDR,Issuer Direct Corporation,Miscellaneous,Publishing
ITUS,ITUS Corporation,Miscellaneous,Multi-Sector Companies
KGJI,Kingold Jewelry Inc.,Miscellaneous,Business Services
LC,LendingClub Corporation,Miscellaneous,Business Services
TAX,"Liberty Tax, Inc.",Miscellaneous,Multi-Sector Companies
LLNW,"Limelight Networks, Inc.",Miscellaneous,Business Services
LIOX,"Lionbridge Technologies, Inc.",Miscellaneous,Business Services
LQDT,"Liquidity Services, Inc.",Miscellaneous,Business Services
LKSD,"LSC Communications, Inc.",Miscellaneous,Publishing
MARA,"Marathon Patent Group, Inc.",Miscellaneous,Multi-Sector Companies
MCHX,"Marchex, Inc.",Miscellaneous,Business Services
MA,Mastercard Incorporated,Miscellaneous,Business Services
MMS,"Maximus, Inc.",Miscellaneous,Business Services
MXWL,"Maxwell Technologies, Inc.",Miscellaneous,Industrial Machinery/Components
MELI,"MercadoLibre, Inc.",Miscellaneous,Business Services
MLNK,"ModusLink Global Solutions, Inc",Miscellaneous,Business Services
MGI,"Moneygram International, Inc.",Miscellaneous,Business Services
MSCI,MSCI Inc,Miscellaneous,Business Services
LABL,Multi-Color Corporation,Miscellaneous,Publishing
NCR,NCR Corporation,Miscellaneous,Office Equipment/Supplies/Services
NTES,"NetEase, Inc.",Miscellaneous,Business Services
EGOV,NIC Inc.,Miscellaneous,Business Services
NLSN,Nielsen N.V.,Miscellaneous,Business Services
NOVT,Novanta Inc.,Miscellaneous,Industrial Machinery/Components
ONVI,"Onvia, Inc.",Miscellaneous,Business Services
PAR,PAR Technology Corporation,Miscellaneous,Office Equipment/Supplies/Services
PYPL,"PayPal Holdings, Inc.",Miscellaneous,Business Services
PCO,Pendrell Corporation,Miscellaneous,Multi-Sector Companies
PFSW,"PFSweb, Inc.",Miscellaneous,Business Services
PBI,Pitney Bowes Inc.,Miscellaneous,Office Equipment/Supplies/Services
PLPM,"Planet Payment, Inc.",Miscellaneous,Business Services
PCOM,"Points International, Ltd.",Miscellaneous,Business Services
PRZM,"Prism Technologies Group, Inc.",Miscellaneous,Business Services
QIWI,QIWI plc,Miscellaneous,Business Services
QUAD,"Quad Graphics, Inc",Miscellaneous,Publishing
QNST,"QuinStreet, Inc.",Miscellaneous,Business Services
RRD,R.R. Donnelley & Sons Company,Miscellaneous,Publishing
RDWR,Radware Ltd.,Miscellaneous,Business Services
REIS,"Reis, Inc",Miscellaneous,Business Services
REFR,Research Frontiers Incorporated,Miscellaneous,Multi-Sector Companies
RECN,"Resources Connection, Inc.",Miscellaneous,Business Services
NAME,"Rightside Group, Ltd.",Miscellaneous,Business Services
RBA,Ritchie Bros. Auctioneers Incorporated,Miscellaneous,Business Services
RMGN,RMG Networks Holding Corporation,Miscellaneous,Business Services
RPXC,RPX Corporation,Miscellaneous,Multi-Sector Companies
SAJA,"Sajan, Inc.",Miscellaneous,Business Services
SREV,"ServiceSource International, Inc.",Miscellaneous,Business Services
SFLY,"Shutterfly, Inc.",Miscellaneous,Other Consumer Services
SITO,"SITO Mobile, Ltd.",Miscellaneous,Business Services
BID,Sotheby&#39;s,Miscellaneous,Business Services
SGRP,"SPAR Group, Inc.",Miscellaneous,Business Services
LOV,"Spark Networks, Inc.",Miscellaneous,Business Services
SPB           ,"Spectrum Brands Holdings, Inc.",Miscellaneous,Industrial Machinery/Components
SPEX,Spherix Incorporated,Miscellaneous,Multi-Sector Companies
STMP,Stamps.com Inc.,Miscellaneous,Business Services
TRHC,"Tabula Rasa HealthCare, Inc.",Miscellaneous,Business Services
TTGT,"TechTarget, Inc.",Miscellaneous,Business Services
